Escola,Código INEP,UF,Município,Localização,Endereço,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude,candidate_source,site_type,name,city,state
IFSUL - CAMPUS BAGE,43000207.0,RS,Bagé,Urbana,"LEONEL DE MOURA BRIZOLA, 2501 PEDRAS BRANCAS. 96418-400 Bagé - RS.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-31.33214,-54.07276,IF,selected_relocated,,,
IFSC - CAMPUS CRICIUMA,42012872.0,SC,Criciúma,Urbana,"RODOVIA SC-443, 845 VILA RICA. 88813-600 Criciúma - SC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-28.6788,-49.33195,IF,selected_relocated,,,
IFPR - CAMPUS CAPANEMA,41155980.0,PR,Capanema,Urbana,"RUA CARIRIS, 750 LOTE 52 GLEBA 135. SANTA BARBARA. 85760-000 Capanema - PR.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-25.68366158,-53.78667322,IF,selected_relocated,,,
IFSP - CAMPUS ITAQUAQUECETUBA,35011599.0,SP,Itaquaquecetuba,Urbana,"RUA PRIMEIRO DE MAIO, 500 ESTACAO. 08571-050 Itaquaquecetuba - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-23.48563827,-46.34327828,IF,selected_relocated,,,
IFMS - CAMPUS JARDIM,50033182.0,MS,Jardim,Urbana,"BR 060, S/N SAIDA P/ BELA VISTA. 79240-000 Jardim - MS.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-21.49779294,-56.16177276,IF,selected_relocated,,,
IFES - CAMPUS SERRA,32075979.0,ES,Serra,Urbana,"AVENIDA DOS SABIAS, 330 MORADA DE LARANJEIRAS. 29166-630 Serra - ES.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-20.1977741,-40.217578,IF,selected_relocated,,,
IFG - CAMPUS GOIANIA,52037045.0,GO,Goiânia,Urbana,"RUA 75, 46 SETOR CENTRAL. 74055-110 Goiânia - GO.",Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-16.66602064,-49.25508369,IF,selected_relocated,,,
IFAM - CAMPUS PRESIDENTE FIGUEIREDO,13322230.0,AM,Presidente Figueiredo,Urbana,"AVENIDA ONCA PINTADA, 1308 GALO DA SERRA. 69735-000 Presidente Figueiredo - AM.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-2.04930765,-60.0040129,IF,selected_relocated,,,
IFBA - CAMPUS EUCLIDES DA CUNHA,29468744.0,BA,Euclides da Cunha,Urbana,"AVENIDA RENATO CAMPOS, 900 BR 116 KM 220. NOSSA SRA DA CONCEICAO. 48500-000 Euclides da Cunha - BA.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.53707949,-38.99823043,IF,selected_relocated,,,
IFMA - CAMPUS SAO RAIMUNDO DAS MANGABEIRAS,21197105.0,MA,São Raimundo das Mangabeiras,Rural,"BR 230, KM 319, SN ZONA RURAL. 65840-000 São Raimundo das Mangabeiras - MA.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-7.037678249,-45.51736459,IF,selected_relocated,,,
IFMT - CAMPUS AVANCADO LUCAS DO RIO VERDE,51068354.0,MT,Lucas do Rio Verde,Urbana,"AVENIDA UNIVERSITARIA, 1600 PARQUE DAS EMAS. 78466-586 Lucas do Rio Verde - MT.",Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação Profissional",-13.06830785,-55.9477915,IF,selected_relocated,,,
IFCE - CAMPUS ACOPIARA,23272937.0,CE,Acopiara,Urbana,"ROD. CE 060, KM 332, S/N VILA MARTINS. 63560-000 Acopiara - CE.",Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação Profissional",-6.066310932,-39.47446126,IF,selected_relocated,,,
IFNMG - CAMPUS SALINAS,31233269.0,MG,Salinas,Rural,"FAZENDA VARGINHA, KM 02, ROD. MG 404, S/N 39560-000 Salinas - MG.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-16.1569065,-42.3107111,IF,selected_relocated,,,
IFRO - CAMPUS COLORADO DO OESTE,11037016.0,RO,Colorado do Oeste,Rural,"BR 435 KM 63, S/Nº. CAIXA POSTAL 51. ZONA RURAL. 76993-000 Colorado do Oeste - RO.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-13.1142503,-60.4862046,IF,selected_relocated,,,
IFSP - CAMPUS AVANCADO ILHA SOLTEIRA,35011416.0,SP,Ilha Solteira,Urbana,"ALAMEDA TUCURUI, 164 ZONA NORTE. 15385-268 Ilha Solteira - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-20.42105274,-51.33293875,IF,selected_relocated,,,
IFBA - CAMPUS BARREIRAS,29340624.0,BA,Barreiras,Urbana,"RUA GILENO DE SA OLIVEIRA, 271 PREDIO. RECANTO DOS PASSAROS. 47808-006 Barreiras - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-12.1530361,-44.974113,IF,selected_relocated,,,
IFMT - CAMPUS CONFRESA,51198819.0,MT,Confresa,Urbana,"AVENIDA VILMAR FERNANDES, 300 CAIXA POSTAL 96. SANTA LUZIA. 78652-000 Confresa - MT.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-10.661201,-51.55788205,IF,selected_relocated,,,
IFAC - CAMPUS XAPURI,12030953.0,AC,Xapuri,Urbana,"CORONEL BRANDAO, 1622 CENTRO. 69930-000 Xapuri - AC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.66080029,-68.49409908,IF,selected_relocated,,,
IFAM - CAMPUS HUMAITA,13101137.0,AM,Humaitá,Rural,"BR 230, KM 7, S/N ZONA RURAL. 69800-000 Humaitá - AM.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-7.551353962,-63.07198711,IF,selected_relocated,,,
IFMA - CAMPUS PINHEIRO,21199302.0,MA,Pinheiro,Urbana,"RODOVIA MA 006, SN ENSEADA. 65200-000 Pinheiro - MA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-2.540966027,-45.13338718,IF,selected_relocated,,,
IFPA - CAMPUS BREVES,15157431.0,PA,Breves,Urbana,"RUA ANTONIO FULGENCIO, SEM NUMERO PARQUE UNIVERSITARIO. 68800-000 Breves - PA.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-1.688841,-50.4642266,IF,selected_relocated,,,
IFPA - CAMPUS ITAITUBA,15157440.0,PA,Itaituba,Urbana,"RUA UNIVERSITARIO, S/N KM 05. MARIA MAGDALENA. 68183-300 Itaituba - PA.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-4.222231343,-56.00197651,IF,selected_relocated,,,
IFPA - CAMPUS PARAUAPEBAS,15166538.0,PA,Parauapebas,Urbana,"RODOVIA PA 275, S/N LADO PORTARIA CARAJA. UNIAO. 68515-000 Parauapebas - PA.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-6.0642564,-49.9149964,IF,selected_relocated,,,
IFAM - CAMPUS TEFE,13101170.0,AM,Tefé,Urbana,"RUA JOAO ESTEFANO, 625 ANEXO A UAB. JURUA. 69552-250 Tefé - AM.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-3.352170973,-64.7184133,IF,selected_relocated,,,
IFAM - CAMPUS TABATINGA,13322249.0,AM,Tabatinga,Urbana,"RUA SANTOS DUMONT, S/Nº EM AREA DE EXPANSAO. VILA VERDE. 69640-000 Tabatinga - AM.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-4.2314422,-69.9148847,IF,selected_relocated,,,
IFAC - CAMPUS CRUZEIRO DO SUL,12030937.0,AC,Cruzeiro do Sul,Rural,"ESTRADA DA APADEQ, 1192 RML FAZENDA MODELO. NOVA OLINDA. 69980-000 Cruzeiro do Sul - AC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-7.5817149,-72.7413246,IF,selected_relocated,,,
IFRR - CAMPUS BOA VISTA ZONA OESTE,14007835.0,RR,Boa Vista,Urbana,"RUA PROF NONATO CHACON, 1976 LAURA MOREIRA CONJUNTO CIDADAO. 69318-000 Boa Vista - RR.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",2.7901218,-60.771405,IF,selected_relocated,,,
IFMG - CAMPUS BAMBUI,31031755.0,MG,Bambuí,Rural,"FAZENDA VARGINHA, RODOVIA BAMBUI/MEDEIROS, KM 05 - CAIXA POSTAL 05, S/N ZONA RURAL. 38900-000 Bambuí - MG.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-20.0326946,-46.009347,IF,selected_relocated,,,
IFMT - CAMPUS RONDONOPOLIS,51064740.0,MT,Rondonópolis,Urbana,"RUA ANANIAS MARTINS DE SOUZA, 861 RESIDENCIAL VILA MINEIRA. 78721-520 Rondonópolis - MT.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-16.42189401,-54.62788481,IF,selected_relocated,,,
IFPB - CAMPUS ESPERANCA,25128612.0,PB,Esperança,Urbana,"RODOVIA PB 121, SN CENTRO. 58135-000 Esperança - PB.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-7.023605788,-35.86141909,IF,selected_relocated,,,
IF FARROUPILHA - CAMPUS AVANCADO URUGUAIANA,43050921.0,RS,Uruguaiana,Urbana,"RUA MONTEIRO LOBATO, 4442 CABO LUIS QUEVEDO. 97503-748 Uruguaiana - RS.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-29.78161389,-57.10752829,IF,selected_relocated,,,
,,,,,,,,-14.796632,-39.1724,EXISTING_STATION,selected_relocated,STIL,Ilhéus,BA
INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS ARRAIAL DO CABO,33159882.0,RJ,Arraial do Cabo,Urbana,"RUA JOSE PINTO DE MACEDO, PRAINHA. 28930-000 Arraial do Cabo - RJ.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-22.96448456,-42.02692722,IF,selected_relocated,,,
IFCE - CAMPUS ACARAU,23236140.0,CE,Acaraú,Urbana,"AV. DES. ARMANDO DE SOUZA LOUZADA, S/N PROXIMO AO FORUM. MONSENHOR JOSE EDSON MAGALHAES. 62580-000 Acaraú - CE.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-2.889068224,-40.11327568,IF,selected_relocated,,,
IFMT - CAMPUS ALTA FLORESTA,51067340.0,MT,Alta Floresta,Urbana,"RODOVIA MT-208, KM138 LOTE 143-A. HAMOA. 78580-000 Alta Floresta - MT.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.908315758,-56.06461133,IF,selected_relocated,,,
IFPR - CAMPUS JAGUARIAIVA,41156161.0,PR,Jaguariaíva,Urbana,"AV ELOA MARTINS PASSOS FELIX ESQ COM PR 151 KM 213,7, PONTE VELHA. 84200-000 Jaguariaíva - PR.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-24.26330124,-49.7189815,IF,selected_relocated,,,
IFAP - CENTRO DE REFERENCIA EM EAD PEDRA BRANCA DO AMAPARI,16011929.0,AP,Pedra Branca do Amapari,Urbana,"AVENIDA FRANCISCO DUTRA, S/N CENTRAL. 68945-000 Pedra Branca do Amapari - AP.",Entre 51 e 200 matrículas de escolarização,Educação Profissional,.7798504045,-51.951852,IF,selected_relocated,,,
IFRO - CAMPUS GUAJARA-MIRIM,11049960.0,RO,Guajará-Mirim,Urbana,"AVENIDA 15 DE NOVEMBRO, 4849 PLANALTO. 76850-000 Guajará-Mirim - RO.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-10.76153277,-65.31563194,IF,selected_relocated,,,
IFPI - CAMPUS SAO RAIMUNDO NONATO,22129570.0,PI,São Raimundo Nonato,Urbana,"RODOVIA BR 020, PRIMAVERA. 64770-000 São Raimundo Nonato - PI.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-9.0457886,-42.6934197,IF,selected_relocated,,,
IFTO - CAMPUS PORTO NACIONAL,17043980.0,TO,Porto Nacional,Urbana,"AVENIDA TOCANTINIA, S/N LOTEAMENTO MAE DEDE. JARDIM AMERICA. 77500-000 Porto Nacional - TO.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.69226196,-48.39845119,IF,selected_relocated,,,
IFMS - CAMPUS CORUMBA,50082833.0,MS,Corumbá,Urbana,"RUA PEDRO DE MEDEIROS, 941 POPULAR VELHA. 79310-110 Corumbá - MS.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-19.0125164,-57.6408054,IF,selected_relocated,,,
IFNMG - CAMPUS ARINOS,31345440.0,MG,Arinos,Urbana,"RODOVIA 202 KM 392, S/N ARINOS-BURITIS CP 5. ZONA RURAL. 38680-000 Arinos - MG.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-15.92174333,-46.13612833,IF,selected_relocated,,,
IFPA - CAMPUS OBIDOS,15165574.0,PA,Óbidos,Urbana,"RODOVIA PA 437 KM 02, SEM NUMERO INDUSTRIAL. 68250-000 Óbidos - PA.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-1.8815665,-55.5179882,IF,selected_relocated,,,
IFMT - CAMPUS PONTES E LACERDA,51174820.0,MT,Pontes e Lacerda,Urbana,"MT 473, PARQUE MORADA DA SERRA. 78250-000 Pontes e Lacerda - MT.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-15.22824792,-59.35068736,IF,selected_relocated,,,
IFAL - CAMPUS CORURIPE,27050572.0,AL,Coruripe,Urbana,"RODOVIA ENGENHEIRO GUTTEMBERG BREDA NETO, S/N AL-101 SUL. ALTO DO CRUZEIRO. 57230-000 Coruripe - AL.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.12609575,-36.15650743,IF,selected_relocated,,,
